x,y,z
-1.089986343383789062e+02,5.026260614395141602e-01,1.686521453857421875e+02
-1.091158752441406250e+02,4.489219784736633301e-01,1.690553436279296875e+02
-1.092324829101562500e+02,3.971109986305236816e-01,1.694587402343750000e+02
-1.093486862182617188e+02,3.475132286548614502e-01,1.698623199462890625e+02
-1.094647140502929688e+02,3.004488646984100342e-01,1.702660522460937500e+02
-1.095807876586914062e+02,2.562379539012908936e-01,1.706698913574218750e+02
-1.096971359252929688e+02,2.152006924152374268e-01,1.710738067626953125e+02
-1.098139801025390625e+02,1.776571720838546753e-01,1.714777526855468750e+02
-1.099315567016601562e+02,1.439275592565536499e-01,1.718817138671875000e+02
-1.100500717163085938e+02,1.143319681286811829e-01,1.722856292724609375e+02
-1.101697463989257812e+02,8.913313597440719604e-02,1.726894836425781250e+02
-1.102906570434570312e+02,6.834594160318374634e-02,1.730932312011718750e+02
-1.104128723144531250e+02,5.191837251186370850e-02,1.734968566894531250e+02
-1.105364379882812500e+02,3.979841247200965881e-02,1.739003295898437500e+02
-1.106614227294921875e+02,3.193404898047447205e-02,1.743036193847656250e+02
-1.107878875732421875e+02,2.827326394617557526e-02,1.747066955566406250e+02
-1.109158782958984375e+02,2.876403927803039551e-02,1.751095275878906250e+02
-1.110454711914062500e+02,3.335436433553695679e-02,1.755121002197265625e+02
-1.111767044067382812e+02,4.199221730232238770e-02,1.759143676757812500e+02
-1.113096542358398438e+02,5.462558940052986145e-02,1.763163146972656250e+02
-1.114443740844726562e+02,7.120245695114135742e-02,1.767178955078125000e+02
-1.115809173583984375e+02,9.167081117630004883e-02,1.771190948486328125e+02
-1.117193527221679688e+02,1.159786358475685120e-01,1.775198822021484375e+02
-1.118597335815429688e+02,1.440739184617996216e-01,1.779202423095703125e+02
-1.120021133422851562e+02,1.759046316146850586e-01,1.783201141357421875e+02
-1.121465606689453125e+02,2.114187628030776978e-01,1.787194976806640625e+02
-1.122931289672851562e+02,2.505643069744110107e-01,1.791183624267578125e+02
-1.124418792724609375e+02,2.932892441749572754e-01,1.795166625976562500e+02
-1.125928497314453125e+02,3.395079672336578369e-01,1.799143829345703125e+02
-1.127457427978515625e+02,3.886559903621673584e-01,1.803115844726562500e+02
-1.129000396728515625e+02,4.398114681243896484e-01,1.807083740234375000e+02
-1.130551986694335938e+02,4.920440614223480225e-01,1.811048583984375000e+02
-1.132106857299804688e+02,5.444234013557434082e-01,1.815011596679687500e+02
-1.133659667968750000e+02,5.960190892219543457e-01,1.818973846435546875e+02
-1.135205001831054688e+02,6.459007859230041504e-01,1.822936401367187500e+02
-1.136737518310546875e+02,6.931381821632385254e-01,1.826900634765625000e+02
-1.138251953125000000e+02,7.368008494377136230e-01,1.830867309570312500e+02
-1.139742813110351562e+02,7.759584188461303711e-01,1.834837799072265625e+02
-1.141204833984375000e+02,8.096805810928344727e-01,1.838813323974609375e+02
-1.142632598876953125e+02,8.370369672775268555e-01,1.842794647216796875e+02
-1.144020843505859375e+02,8.570972084999084473e-01,1.846783294677734375e+02
-1.145364151000976562e+02,8.689309358596801758e-01,1.850780029296875000e+02
-1.146657104492187500e+02,8.716078400611877441e-01,1.854786224365234375e+02
-1.147894439697265625e+02,8.641974329948425293e-01,1.858803100585937500e+02
-1.149070739746093750e+02,8.457694649696350098e-01,1.862831420898437500e+02
-1.150180664062500000e+02,8.153935670852661133e-01,1.866872558593750000e+02
-1.151218872070312500e+02,7.721393704414367676e-01,1.870927581787109375e+02
-1.152180099487304688e+02,7.150948643684387207e-01,1.874997711181640625e+02
-1.153061523437500000e+02,6.439136266708374023e-01,1.879080352783203125e+02
-1.153863143920898438e+02,5.589076876640319824e-01,1.883169555664062500e+02
-1.154585189819335938e+02,4.604262411594390869e-01,1.887259063720703125e+02
-1.155227813720703125e+02,3.488183021545410156e-01,1.891342468261718750e+02
-1.155791320800781250e+02,2.244330495595932007e-01,1.895413665771484375e+02
-1.156275787353515625e+02,8.761955052614212036e-02,1.899466247558593750e+02
-1.156681518554687500e+02,-6.127304956316947937e-02,1.903493957519531250e+02
-1.157008743286132812e+02,-2.218956500291824341e-01,1.907490386962890625e+02
-1.157257537841796875e+02,-3.938991129398345947e-01,1.911449279785156250e+02
-1.157428131103515625e+02,-5.769343376159667969e-01,1.915364379882812500e+02
-1.157520828247070312e+02,-7.706522345542907715e-01,1.919229431152343750e+02
-1.157535781860351562e+02,-9.747036099433898926e-01,1.923038024902343750e+02
-1.157473144531250000e+02,-1.188739418983459473e+00,1.926783905029296875e+02
-1.157333145141601562e+02,-1.412410616874694824e+00,1.930460815429687500e+02
-1.157115936279296875e+02,-1.645367860794067383e+00,1.934062500000000000e+02
-1.156821899414062500e+02,-1.887262225151062012e+00,1.937582550048828125e+02
-1.156451034545898438e+02,-2.137744665145874023e+00,1.941014709472656250e+02
-1.156004562377929688e+02,-2.396436691284179688e+00,1.944354858398437500e+02
-1.155487060546875000e+02,-2.662856578826904297e+00,1.947607116699218750e+02
-1.154903717041015625e+02,-2.936498165130615234e+00,1.950777435302734375e+02
-1.154260025024414062e+02,-3.216856002807617188e+00,1.953871307373046875e+02
-1.153561096191406250e+02,-3.503424644470214844e+00,1.956894989013671875e+02
-1.152812271118164062e+02,-3.795698165893554688e+00,1.959854125976562500e+02
-1.152018966674804688e+02,-4.093171119689941406e+00,1.962754516601562500e+02
-1.151186294555664062e+02,-4.395338058471679688e+00,1.965601959228515625e+02
-1.150319747924804688e+02,-4.701692581176757812e+00,1.968402557373046875e+02
-1.149424514770507812e+02,-5.011729717254638672e+00,1.971161956787109375e+02
-1.148505859375000000e+02,-5.324943542480468750e+00,1.973885955810546875e+02
-1.147569122314453125e+02,-5.640829086303710938e+00,1.976580505371093750e+02
-1.146619720458984375e+02,-5.958879470825195312e+00,1.979251403808593750e+02
-1.145662765502929688e+02,-6.278590202331542969e+00,1.981904449462890625e+02
-1.144703598022460938e+02,-6.599454879760742188e+00,1.984545745849609375e+02
-1.143747634887695312e+02,-6.920968055725097656e+00,1.987180786132812500e+02
-1.142800064086914062e+02,-7.242624282836914062e+00,1.989815521240234375e+02
-1.141866226196289062e+02,-7.563917636871337891e+00,1.992455902099609375e+02
-1.140951461791992188e+02,-7.884343147277832031e+00,1.995107727050781250e+02
-1.140060348510742188e+02,-8.203445434570312500e+00,1.997776184082031250e+02
-1.139193420410156250e+02,-8.521131515502929688e+00,2.000462341308593750e+02
-1.138349304199218750e+02,-8.837468147277832031e+00,2.003165435791015625e+02
-1.137526473999023438e+02,-9.152521133422851562e+00,2.005884704589843750e+02
-1.136723556518554688e+02,-9.466358184814453125e+00,2.008619232177734375e+02
-1.135939178466796875e+02,-9.779044151306152344e+00,2.011368255615234375e+02
-1.135171813964843750e+02,-1.009064674377441406e+01,2.014131164550781250e+02
-1.134420089721679688e+02,-1.040123176574707031e+01,2.016906890869140625e+02
-1.133682556152343750e+02,-1.071086597442626953e+01,2.019694671630859375e+02
-1.132957839965820312e+02,-1.101961612701416016e+01,2.022493896484375000e+02
-1.132244491577148438e+02,-1.132754802703857422e+01,2.025303649902343750e+02
-1.131541137695312500e+02,-1.163472938537597656e+01,2.028123168945312500e+02
-1.130846252441406250e+02,-1.194122505187988281e+01,2.030951538085937500e+02
-1.130158462524414062e+02,-1.224710273742675781e+01,2.033787994384765625e+02
